book	verse
Genesis 1:31	31
Genesis 2:25	25
Genesis 3:24	24
Genesis 4:26	26
Genesis 5:32	32
Genesis 6:22	22
Genesis 7:24	24
Genesis 8:22	22
Genesis 9:29	29
Genesis 10:32	32
Genesis 11:32	32
Genesis 12:20	20
Genesis 13:18	18
Genesis 14:24	24
Genesis 15:21	21
Genesis 16:16	16
Genesis 17:27	27
Genesis 18:33	33
Genesis 19:38	38
Genesis 20:18	18
Genesis 21:34	34
Genesis 22:24	24
Genesis 23:20	20
Genesis 24:67	67
Genesis 25:34	34
Genesis 26:35	35
Genesis 27:46	46
Genesis 28:22	22
Genesis 29:35	35
Genesis 30:43	43
Genesis 31:55	55
Genesis 32:32	32
Genesis 33:20	20
Genesis 34:31	31
Genesis 35:29	29
Genesis 36:43	43
Genesis 37:36	36
Genesis 38:30	30
Genesis 39:23	23
Genesis 40:23	23
Genesis 41:57	57
Genesis 42:38	38
Genesis 43:34	34
Genesis 44:34	34
Genesis 45:28	28
Genesis 46:34	34
Genesis 47:31	31
Genesis 48:22	22
Genesis 49:33	33
Genesis 50:26	26
Exodus 1:22	22
Exodus 2:25	25
Exodus 3:22	22
Exodus 4:31	31
Exodus 5:23	23
Exodus 6:30	30
Exodus 7:25	25
Exodus 8:32	32
Exodus 9:35	35
Exodus 10:29	29
Exodus 11:10	10
Exodus 12:51	51
Exodus 13:22	22
Exodus 14:31	31
Exodus 15:27	27
Exodus 16:36	36
Exodus 17:16	16
Exodus 18:27	27
Exodus 19:25	25
Exodus 20:26	26
Exodus 21:36	36
Exodus 22:31	31
Exodus 23:33	33
Exodus 24:18	18
Exodus 25:40	40
Exodus 26:37	37
Exodus 27:21	21
Exodus 28:43	43
Exodus 29:46	46
Exodus 30:38	38
Exodus 31:18	18
Exodus 32:35	35
Exodus 33:23	23
Exodus 34:35	35
Exodus 35:35	35
Exodus 36:38	38
Exodus 37:29	29
Exodus 38:31	31
Exodus 39:43	43
Exodus 40:38	38
Leviticus 1:17	17
Leviticus 2:16	16
Leviticus 3:17	17
Leviticus 4:35	35
Leviticus 5:19	19
Leviticus 6:30	30
Leviticus 7:38	38
Leviticus 8:36	36
Leviticus 9:24	24
Leviticus 10:20	20
Leviticus 11:47	47
Leviticus 12:8	8
Leviticus 13:59	59
Leviticus 14:57	57
Leviticus 15:33	33
Leviticus 16:34	34
Leviticus 17:16	16
Leviticus 18:30	30
Leviticus 19:37	37
Leviticus 20:27	27
Leviticus 21:24	24
Leviticus 22:33	33
Leviticus 23:44	44
Leviticus 24:23	23
Leviticus 25:55	55
Leviticus 26:46	46
Leviticus 27:34	34
Numbers 1:54	54
Numbers 2:34	34
Numbers 3:51	51
Numbers 4:49	49
Numbers 5:31	31
Numbers 6:27	27
Numbers 7:89	89
Numbers 8:26	26
Numbers 9:23	23
Numbers 10:36	36
Numbers 11:35	35
Numbers 12:16	16
Numbers 13:33	33
Numbers 14:45	45
Numbers 15:41	41
Numbers 16:50	50
Numbers 17:13	13
Numbers 18:32	32
Numbers 19:22	22
Numbers 20:29	29
Numbers 21:35	35
Numbers 22:41	41
Numbers 23:30	30
Numbers 24:25	25
Numbers 25:18	18
Numbers 26:65	65
Numbers 27:23	23
Numbers 28:31	31
Numbers 29:40	40
Numbers 30:16	16
Numbers 31:54	54
Numbers 32:42	42
Numbers 33:56	56
Numbers 34:29	29
Numbers 35:34	34
Numbers 36:13	13
Deuteronomy 1:46	46
Deuteronomy 2:37	37
Deuteronomy 3:29	29
Deuteronomy 4:49	49
Deuteronomy 5:33	33
Deuteronomy 6:25	25
Deuteronomy 7:26	26
Deuteronomy 8:20	20
Deuteronomy 9:29	29
Deuteronomy 10:22	22
Deuteronomy 11:32	32
Deuteronomy 12:32	32
Deuteronomy 13:18	18
Deuteronomy 14:29	29
Deuteronomy 15:23	23
Deuteronomy 16:22	22
Deuteronomy 17:20	20
Deuteronomy 18:22	22
Deuteronomy 19:21	21
Deuteronomy 20:20	20
Deuteronomy 21:23	23
Deuteronomy 22:30	30
Deuteronomy 23:25	25
Deuteronomy 24:22	22
Deuteronomy 25:19	19
Deuteronomy 26:19	19
Deuteronomy 27:26	26
Deuteronomy 28:68	68
Deuteronomy 29:29	29
Deuteronomy 30:20	20
Deuteronomy 31:30	30
Deuteronomy 32:52	52
Deuteronomy 33:29	29
Deuteronomy 34:12	12
Joshua 1:18	18
Joshua 2:24	24
Joshua 3:17	17
Joshua 4:24	24
Joshua 5:15	15
Joshua 6:27	27
Joshua 7:26	26
Joshua 8:35	35
Joshua 9:27	27
Joshua 10:43	43
Joshua 11:23	23
Joshua 12:24	24
Joshua 13:33	33
Joshua 14:15	15
Joshua 15:63	63
Joshua 16:10	10
Joshua 17:18	18
Joshua 18:28	28
Joshua 19:51	51
Joshua 20:9	9
Joshua 21:45	45
Joshua 22:34	34
Joshua 23:16	16
Joshua 24:33	33
Judges 1:36	36
Judges 2:23	23
Judges 3:31	31
Judges 4:24	24
Judges 5:31	31
Judges 6:40	40
Judges 7:25	25
Judges 8:35	35
Judges 9:57	57
Judges 10:18	18
Judges 11:40	40
Judges 12:15	15
Judges 13:25	25
Judges 14:20	20
Judges 15:20	20
Judges 16:31	31
Judges 17:13	13
Judges 18:31	31
Judges 19:30	30
Judges 20:48	48
Judges 21:25	25
Ruth 1:22	22
Ruth 2:23	23
Ruth 3:18	18
Ruth 4:22	22
1Samuel 1:28	28
1Samuel 2:36	36
1Samuel 3:21	21
1Samuel 4:22	22
1Samuel 5:12	12
1Samuel 6:21	21
1Samuel 7:17	17
1Samuel 8:22	22
1Samuel 9:27	27
1Samuel 10:27	27
1Samuel 11:15	15
1Samuel 12:25	25
1Samuel 13:23	23
1Samuel 14:52	52
1Samuel 15:35	35
1Samuel 16:23	23
1Samuel 17:58	58
1Samuel 18:30	30
1Samuel 19:24	24
1Samuel 20:42	42
1Samuel 21:15	15
1Samuel 22:23	23
1Samuel 23:29	29
1Samuel 24:22	22
1Samuel 25:44	44
1Samuel 26:25	25
1Samuel 27:12	12
1Samuel 28:25	25
1Samuel 29:11	11
1Samuel 30:31	31
1Samuel 31:13	13
2Samuel 1:27	27
2Samuel 2:32	32
2Samuel 3:39	39
2Samuel 4:12	12
2Samuel 5:25	25
2Samuel 6:23	23
2Samuel 7:29	29
2Samuel 8:18	18
2Samuel 9:13	13
2Samuel 10:19	19
2Samuel 11:27	27
2Samuel 12:31	31
2Samuel 13:39	39
2Samuel 14:33	33
2Samuel 15:37	37
2Samuel 16:23	23
2Samuel 17:29	29
2Samuel 18:33	33
2Samuel 19:43	43
2Samuel 20:26	26
2Samuel 21:22	22
2Samuel 22:51	51
2Samuel 23:39	39
2Samuel 24:25	25
1Kings 1:53	53
1Kings 2:46	46
1Kings 3:28	28
1Kings 4:34	34
1Kings 5:18	18
1Kings 6:38	38
1Kings 7:51	51
1Kings 8:66	66
1Kings 9:28	28
1Kings 10:29	29
1Kings 11:43	43
1Kings 12:33	33
1Kings 13:34	34
1Kings 14:31	31
1Kings 15:34	34
1Kings 16:34	34
1Kings 17:24	24
1Kings 18:46	46
1Kings 19:21	21
1Kings 20:43	43
1Kings 21:29	29
1Kings 22:53	53
2Kings 1:18	18
2Kings 2:25	25
2Kings 3:27	27
2Kings 4:44	44
2Kings 5:27	27
2Kings 6:33	33
2Kings 7:20	20
2Kings 8:29	29
2Kings 9:37	37
2Kings 10:36	36
2Kings 11:21	21
2Kings 12:21	21
2Kings 13:25	25
2Kings 14:29	29
2Kings 15:38	38
2Kings 16:20	20
2Kings 17:41	41
2Kings 18:37	37
2Kings 19:37	37
2Kings 20:21	21
2Kings 21:26	26
2Kings 22:20	20
2Kings 23:37	37
2Kings 24:20	20
2Kings 25:30	30
1Chronicles 1:54	54
1Chronicles 2:55	55
1Chronicles 3:24	24
1Chronicles 4:43	43
1Chronicles 5:26	26
1Chronicles 6:81	81
1Chronicles 7:40	40
1Chronicles 8:40	40
1Chronicles 9:44	44
1Chronicles 10:14	14
1Chronicles 11:47	47
1Chronicles 12:40	40
1Chronicles 13:14	14
1Chronicles 14:17	17
1Chronicles 15:29	29
1Chronicles 16:43	43
1Chronicles 17:27	27
1Chronicles 18:17	17
1Chronicles 19:19	19
1Chronicles 20:8	8
1Chronicles 21:30	30
1Chronicles 22:19	19
1Chronicles 23:32	32
1Chronicles 24:31	31
1Chronicles 25:31	31
1Chronicles 26:32	32
1Chronicles 27:34	34
1Chronicles 28:21	21
1Chronicles 29:30	30
2Chronicles 1:17	17
2Chronicles 2:18	18
2Chronicles 3:17	17
2Chronicles 4:22	22
2Chronicles 5:14	14
2Chronicles 6:42	42
2Chronicles 7:22	22
2Chronicles 8:18	18
2Chronicles 9:31	31
2Chronicles 10:19	19
2Chronicles 11:23	23
2Chronicles 12:16	16
2Chronicles 13:22	22
2Chronicles 14:15	15
2Chronicles 15:19	19
2Chronicles 16:14	14
2Chronicles 17:19	19
2Chronicles 18:34	34
2Chronicles 19:11	11
2Chronicles 20:37	37
2Chronicles 21:20	20
2Chronicles 22:12	12
2Chronicles 23:21	21
2Chronicles 24:27	27
2Chronicles 25:28	28
2Chronicles 26:23	23
2Chronicles 27:9	9
2Chronicles 28:27	27
2Chronicles 29:36	36
2Chronicles 30:27	27
2Chronicles 31:21	21
2Chronicles 32:33	33
2Chronicles 33:25	25
2Chronicles 34:33	33
2Chronicles 35:27	27
2Chronicles 36:23	23
Ezra 1:11	11
Ezra 2:70	70
Ezra 3:13	13
Ezra 4:24	24
Ezra 5:17	17
Ezra 6:22	22
Ezra 7:28	28
Ezra 8:36	36
Ezra 9:15	15
Ezra 10:44	44
Nehemiah 1:11	11
Nehemiah 2:20	20
Nehemiah 3:32	32
Nehemiah 4:23	23
Nehemiah 5:19	19
Nehemiah 6:19	19
Nehemiah 7:73	73
Nehemiah 8:18	18
Nehemiah 9:38	38
Nehemiah 10:39	39
Nehemiah 11:36	36
Nehemiah 12:47	47
Nehemiah 13:31	31
Esther 1:22	22
Esther 2:23	23
Esther 3:15	15
Esther 4:17	17
Esther 5:14	14
Esther 6:14	14
Esther 7:10	10
Esther 8:17	17
Esther 9:32	32
Esther 10:3	3
Job 1:22	22
Job 2:13	13
Job 3:26	26
Job 4:21	21
Job 5:27	27
Job 6:30	30
Job 7:21	21
Job 8:22	22
Job 9:35	35
Job 10:22	22
Job 11:20	20
Job 12:25	25
Job 13:28	28
Job 14:22	22
Job 15:35	35
Job 16:22	22
Job 17:16	16
Job 18:21	21
Job 19:29	29
Job 20:29	29
Job 21:34	34
Job 22:30	30
Job 23:17	17
Job 24:25	25
Job 25:6	6
Job 26:14	14
Job 27:23	23
Job 28:28	28
Job 29:25	25
